date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:35:37	2951/2951	---MCZ	200	added ('OK')	text/css	etag:W/%226414a3fc-b87%22	https://escamboo.com/wp-content/uploads/elementor/css/post-5.css?ver=1679074300	C:/Os%20meus%20Sites/test/escamboo.com/wp-content/uploads/elementor/css/post-5c2fa.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2031%20Mar%202023%2002:35:38%20GMT	http://escamboo.com/wp-content/cache/wpfc-minified/8i0nfm2f/owe0.css	C:/Os%20meus%20Sites/test/escamboo.com/wp-content/cache/wpfc-minified/8i0nfm2f/owe0.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:38	361629/361629	---MCZ	200	added ('OK')	text/css	etag:W/%226423eac4-5849d%22	https://escamboo.com/wp-content/cache/wpfc-minified/8i0nfm2f/owe0.css	C:/Os%20meus%20Sites/test/escamboo.com/wp-content/cache/wpfc-minified/8i0nfm2f/owe0.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:39	484/484	---MCZ	200	added ('OK')	text/css	etag:W/%22641f1489-1e4%22	https://escamboo.com/wp-content/uploads/elementor/css/post-10968.css?ver=1679758473	C:/Os%20meus%20Sites/test/escamboo.com/wp-content/uploads/elementor/css/post-10968b7b7.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2031%20Mar%202023%2002:35:39%20GMT	http://escamboo.com/wp-content/cache/wpfc-minified/d50i1g65/owe0.css	C:/Os%20meus%20Sites/test/escamboo.com/wp-content/cache/wpfc-minified/d50i1g65/owe0.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:40	622949/622949	---MCZ	200	added ('OK')	text/css	etag:W/%226423eac4-98165%22	https://escamboo.com/wp-content/cache/wpfc-minified/d50i1g65/owe0.css	C:/Os%20meus%20Sites/test/escamboo.com/wp-content/cache/wpfc-minified/d50i1g65/owe0.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:40	99717/99717	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Mar%202023%2019:58:29%20GMT	https://c0.wp.com/p/jetpack/11.9.1/css/jetpack.css	C:/Os%20meus%20Sites/test/c0.wp.com/p/jetpack/11.9.1/css/jetpack.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:40	89684/89684	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2019%20Sep%202022%2014:16:24%20GMT	https://c0.wp.com/c/6.1.1/wp-includes/js/jquery/jquery.min.js	C:/Os%20meus%20Sites/test/c0.wp.com/c/6.1.1/wp-includes/js/jquery/jquery.min.js	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:40	11224/11224	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2009:06:06%20GMT	https://c0.wp.com/c/6.1.1/wp-includes/js/jquery/jquery-migrate.min.js	C:/Os%20meus%20Sites/test/c0.wp.com/c/6.1.1/wp-includes/js/jquery/jquery-migrate.min.js	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2031%20Mar%202023%2002:35:41%20GMT	http://escamboo.com/wp-content/cache/wpfc-minified/kxy4we87/owe0.js	C:/Os%20meus%20Sites/test/escamboo.com/wp-content/cache/wpfc-minified/kxy4we87/owe0.js	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
